[2025-07-03 16:11:19] High CPU usage: 773.20% | PID: 0 | Name: System Idle Process | Path: Access Denied | CPU: 773.20% | Memory: 0.01MB | Parent: Unknown
[2025-07-03 16:11:19] High CPU usage: 46.80% | PID: 4 | Name: System | Path:  | CPU: 46.80% | Memory: 2.52MB | Parent: Unknown
[2025-07-03 16:11:20] High CPU usage: 77.90% | PID: 1256 | Name: backgroundTaskHost.exe | Path: C:\Windows\System32\backgroundTaskHost.exe | CPU: 77.90% | Memory: 43.26MB | Parent: svchost.exe
[2025-07-03 16:11:22] High CPU usage: 31.20% | PID: 1720 | Name: dwm.exe | Path: C:\Windows\System32\dwm.exe | CPU: 31.20% | Memory: 67.69MB | Parent: winlogon.exe
[2025-07-03 16:11:28] High Memory usage: 183.38MB | PID: 4000 | Name: MemCompression | Path: MemCompression | CPU: 0.00% | Memory: 183.38MB | Parent: System
[2025-07-03 16:11:29] High Memory usage: 227.59MB | PID: 4344 | Name: TextInputHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe | CPU: 0.00% | Memory: 227.59MB | Parent: svchost.exe
[2025-07-03 16:11:32] High Memory usage: 241.87MB | PID: 5204 | Name: MsMpEng.exe | Path: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe | CPU: 0.00% | Memory: 241.87MB | Parent: services.exe
[2025-07-03 16:11:33] High Memory usage: 103.66MB | PID: 5508 | Name: SearchHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | CPU: 0.00% | Memory: 103.66MB | Parent: svchost.exe
[2025-07-03 16:11:34] High Memory usage: 139.60MB | PID: 6672 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 139.60MB | Parent: explorer.exe
[2025-07-03 16:11:35] High CPU usage: 31.20% | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 31.20% | Memory: 426.58MB | Parent: chrome.exe
[2025-07-03 16:11:35] High Memory usage: 426.58MB | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 31.20% | Memory: 426.58MB | Parent: chrome.exe
